year	month	day	hour	min
2030	6	1	6	21
2030	6	30	21	34
2030	7	30	11	11
2030	8	28	23	7
2030	9	27	9	54
2030	10	26	20	17
2030	11	25	6	46
2030	12	24	17	32
2031	1	23	4	31
2031	2	21	15	49
2031	3	23	3	49
2031	4	21	16	57
2031	5	21	7	17
2031	6	19	22	24
2031	7	19	13	40
2031	8	18	4	32
2031	9	16	18	47
2031	10	16	8	20
2031	11	14	21	9
2031	12	14	9	6
2032	1	12	20	6
2032	2	11	6	24
2032	3	11	16	24
2032	4	10	2	39
2032	5	9	13	35
2032	6	8	1	32
2032	7	7	14	41
2032	8	6	5	11
2032	9	4	20	56
2032	10	4	13	26
2032	11	3	5	45
2032	12	2	20	53
2033	1	1	10	17
2033	1	30	22	0
2033	3	1	8	23
2033	3	30	17	51
2033	4	29	2	46
2033	5	28	11	36
2033	6	26	21	7
2033	7	26	8	12
2033	8	24	21	40
2033	9	23	13	40
2033	10	23	7	28
2033	11	22	1	39
2033	12	21	18	46
2034	1	20	10	1
2034	2	18	23	10
2034	3	20	10	14
2034	4	18	19	26
2034	5	18	3	12
2034	6	16	10	26
2034	7	15	18	15
2034	8	14	3	53
2034	9	12	16	14
2034	10	12	7	32
2034	11	11	1	16
2034	12	10	20	14
2035	1	9	15	3
2035	2	8	8	22
2035	3	9	23	9
2035	4	8	10	58
2035	5	7	20	4
2035	6	6	3	20
2035	7	5	9	59
2035	8	3	17	12
2035	9	2	1	59
2035	10	1	13	7
2035	10	31	2	58
2035	11	29	19	37
2035	12	29	14	31
